"hcpcs_code","hcpcs_description"
"64483","Inj foramen epidural l/s"
"64484","Inj foramen epidural add-on"
"64493","Inj paravert f jnt l/s 1 lev"
"64494","Inj paravert f jnt l/s 2 lev"
"64495","Inj paravert f jnt l/s 3 lev"
"64635","Destroy lumb/sac facet jnt"
"64636","Destroy l/s facet jnt addl"
"72275","Epidurography"
"77002","Needle localization by xray"
"77003","Fluoroguide for spine inject"
"82948","Reagent strip/blood glucose"
"82962","Glucose blood test"
"95972","Analyze neurostim complex"
"96101","Psycho testing by psych/phys"
"96103","Psycho testing admin by comp"
"99144","Mod cs by same phys 5 yrs +"
"G0431","Drug screen multiple class"
"G0434","Drug screen multi drug class"
"J0690","Cefazolin sodium injection"
"J1030","Methylprednisolone 40 MG inj"
"J1040","Methylprednisolone 80 MG inj"
"J1100","Dexamethasone sodium phos"
"J1260","Dolasetron mesylate"
"J1885","Ketorolac tromethamine inj"
"J2250","Inj midazolam hydrochloride"
"J3010","Fentanyl citrate injeciton"
"J7321","Hyalgan/supartz inj per dose"
"L8680","Implt neurostim elctr each"
"Q9967","LOCM 300-399mg/ml iodine,1ml"
"77014","Ct scan for therapy guide"
"77336","Radiation physics consult"
"77418","Radiation tx delivery imrt"
"77427","Radiation tx management x5"
"33533","Cabg arterial single"
"35301","Rechanneling of artery"
"72170","X-ray exam of pelvis"
"73030","X-ray exam of shoulder"
"73562","X-ray exam of knee 3"
"77080","Dxa bone density axial"
"85610","Prothrombin time"
"G0328","Fecal blood scrn immunoassay"
"G0438","PPPS, initial visit"
"G0283","Elec stim other than wound"
"90656","Flu vaccine no preserv 3 & >"
"90732","Pneumococcal vaccine"
"G0009","Admin pneumococcal vaccine"
"Q2037","Fluvirin vacc, 3 yrs & >, im"
"20605","Drain/inject joint/bursa"
"96365","Ther/proph/diag iv inf init"
"96366","Ther/proph/diag iv inf addon"
"96372","Ther/proph/diag inj sc/im"
"96401","Chemo anti-neopl sq/im"
"96413","Chemo iv infusion 1 hr"
"96415","Chemo iv infusion addl hr"
"J0897","Denosumab injection"
"J1745","Infliximab injection"
"J2930","Methylprednisolone injection"
"J3488","Reclast injection"
"J7050","Normal saline solution infus"
"G0416","Sat biopsy prostate 1-20 spc"
"97112","Neuromuscular reeducation"
"97116","Gait training therapy"
"57160","Insert pessary/other device"
"58100","Biopsy of uterus lining"
"58558","Hysteroscopy biopsy"
"A4562","Pessary, non rubber,any type"
"99283","Emergency dept visit"
"20550","Inj tendon sheath/ligament"
"27096","Inject sacroiliac joint"
"62311","Inject spine l/s (cd)"
"64450","N block other peripheral"
"64640","Injection treatment of nerve"
"98925","Osteopathic manipulation"
"99145","Mod cs by same phys add-on"
"99406","Behav chng smoking 3-10 min"
"Q9966","LOCM 200-299mg/ml iodine,1ml"
"71010","Chest x-ray"
"71020","Chest x-ray"
"71250","Ct thorax w/o dye"
"71260","Ct thorax w/dye"
"71275","Ct angiography chest"
"74000","X-ray exam of abdomen"
"74020","X-ray exam of abdomen"
"74022","X-ray exam series abdomen"
"74176","Ct abd & pelvis"
"74177","Ct abd & pelv w/contrast"
"74178","Ct abd & pelv 1/> regns"
"74181","Mri abdomen w/o dye"
"74183","Mri abdomen w/o & w/dye"
"74230","Cine/vid x-ray throat/esoph"
"76536","Us exam of head and neck"
"76700","Us exam abdom complete"
"76705","Echo exam of abdomen"
"76770","Us exam abdo back wall comp"
"76775","Us exam abdo back wall lim"
"76856","Us exam pelvic complete"
"93880","Extracranial study"
"93970","Extremity study"
"93971","Extremity study"
"93976","Vascular study"
"70450","Ct head/brain w/o dye"
"70486","Ct maxillofacial w/o dye"
"70491","Ct soft tissue neck w/dye"
"70551","Mri brain w/o dye"
"70553","Mri brain w/o & w/dye"
"71100","X-ray exam of ribs"
"72040","X-ray exam of neck spine"
"72070","X-ray exam of thoracic spine"
"72100","X-ray exam of lower spine"
"72110","X-ray exam of lower spine"
"72131","Ct lumbar spine w/o dye"
"72141","Mri neck spine w/o dye"
"72146","Mri chest spine w/o dye"
"72148","Mri lumbar spine w/o dye"
"72158","Mri lumbar spine w/o & w/dye"
"73110","X-ray exam of wrist"
"73130","X-ray exam of hand"
"73221","Mri joint upr extrem w/o dye"
"73510","X-ray exam of hip"
"73560","X-ray exam of knee 1 or 2"
"73610","X-ray exam of ankle"
"73630","X-ray exam of foot"
"73700","Ct lower extremity w/o dye"
"73718","Mri lower extremity w/o dye"
"73721","Mri jnt of lwr extre w/o dye"
"76645","Us exam breast(s)"
"76830","Transvaginal us non-ob"
"77051","Computer dx mammogram add-on"
"77052","Comp screen mammogram add-on"
"G0202","Screeningmammographydigital"
"G0204","Diagnosticmammographydigital"
"J7324","Orthovisc inj per dose"
"99284","Emergency dept visit"
"99285","Emergency dept visit"
"99291","Critical care first hour"
"97033","Electric current therapy"
"97002","Pt re-evaluation"
"97535","Self care mngment training"
"80053","Comprehen metabolic panel"
"80069","Renal function panel"
"81000","Urinalysis nonauto w/scope"
"82248","Bilirubin direct"
"82570","Assay of urine creatinine"
"82728","Assay of ferritin"
"83550","Iron binding test"
"83970","Assay of parathormone"
"84156","Assay of protein urine"
"85014","Hematocrit"
"85018","Hemoglobin"
"85025","Complete cbc w/auto diff wbc"
"90935","Hemodialysis one evaluation"
"90960","Esrd srv 4 visits p mo 20+"
"90961","Esrd srv 2-3 vsts p mo 20+"
"J0885","Epoetin alfa, non-esrd"
"90808","Psytx office 75-80 min"
"80061","Lipid panel"
"81003","Urinalysis auto w/o scope"
"82044","Microalbumin semiquant"
"82947","Assay glucose blood quant"
"83036","Glycosylated hemoglobin test"
"87880","Strep a assay w/optic"
"92567","Tympanometry"
"94010","Breathing capacity test"
"11100","Biopsy skin lesion"
"11101","Biopsy skin add-on"
"17110","Destruct b9 lesion 1-14"
"90801","Psy dx interview"
"50590","Fragmenting of kidney stone"
"51728","Cystometrogram w/vp"
"51741","Electro-uroflowmetry first"
"51784","Anal/urinary muscle study"
"51797","Intraabdominal pressure test"
"52000","Cystoscopy"
"52224","Cystoscopy and treatment"
"52234","Cystoscopy and treatment"
"52281","Cystoscopy and treatment"
"52310","Cystoscopy and treatment"
"52648","Laser surgery of prostate"
"55700","Biopsy of prostate"
"76872","Us transrectal"
"94060","Evaluation of wheezing"
"94726","Pulm funct tst plethysmograp"
"94729","C02/membane diffuse capacity"
"99292","Critical care addl 30 min"
"Q2035","Afluria vacc, 3 yrs & >, im"
"30901","Control of nosebleed"
"31231","Nasal endoscopy dx"
"31575","Diagnostic laryngoscopy"
"95992","Canalith repositioning proc"
"97012","Mechanical traction therapy"
"88112","Cytopath cell enhance tech"
"88142","Cytopath c/v thin layer"
"88307","Tissue exam by pathologist"
"88331","Path consult intraop 1 bloc"
"G0123","Screen cerv/vag thin layer"
"14301","Skin tissue rearrangement"
"15002","Wound prep trk/arm/leg"
"15100","Skin splt grft trnk/arm/leg"
"15734","Muscle-skin graft trunk"
"99407","Behav chng smoking > 10 min"
"99348","Home visit est patient"
"99349","Home visit est patient"
"78452","Ht muscle image spect mult"
"93016","Cardiovascular stress test"
"93018","Cardiovascular stress test"
"93288","Pm device eval in person"
"93458","L hrt artery/ventricle angio"
"27447","Total knee arthroplasty"
"A0425","Ground mileage"
"A0426","Als 1"
"A0427","ALS1-emergency"
"A0428","bls"
"A0429","BLS-emergency"
"A0433","als 2"
"A0434","Specialty care transport"
"98929","Osteopathic manipulation"
"95004","Percut allergy skin tests"
"99306","Nursing facility care init"
"99310","Nursing fac care subseq"
"J0696","Ceftriaxone sodium injection"
"J3420","Vitamin b12 injection"
"99305","Nursing facility care init"
"99308","Nursing fac care subseq"
"99309","Nursing fac care subseq"
"99315","Nursing fac discharge day"
"19103","Bx breast percut w/device"
"19295","Place breast clip percut"
"71101","X-ray exam of ribs/chest"
"72050","X-ray exam of neck spine"
"72125","Ct neck spine w/o dye"
"73564","X-ray exam knee 4 or more"
"76098","X-ray exam breast specimen"
"77057","Mammogram screening"
"77059","Mri both breasts"
"G0206","Diagnosticmammographydigital"
"90853","Group psychotherapy"
"27130","Total hip arthroplasty"
"62368","Analyze sp inf pump w/reprog"
"62369","Anal sp inf pmp w/reprg&fill"
"J3490","Drugs unclassified injection"
"93798","Cardiac rehab/monitor"
"99225","Subsequent observation care"
"77082","Dxa bone density vert fx"
"80048","Metabolic panel total ca"
"80076","Hepatic function panel"
"82607","Vitamin B-12"
"84153","Assay of psa total"
"84439","Assay of free thyroxine"
"84443","Assay thyroid stim hormone"
"84481","Free assay (FT-3)"
"85651","Rbc sed rate nonautomated"
"87086","Urine culture/colony count"
"87088","Urine bacteria culture"
"G0103","PSA screening"
"G0109","Diab manage trn ind/group"
"75561","Cardiac mri for morph w/dye"
"75574","Ct angio hrt w/3d image"
"84450","Transferase (AST) (SGOT)"
"84460","Alanine amino (ALT) (SGPT)"
"93015","Cardiovascular stress test"
"93308","Tte f-up or lmtd"
"93312","Echo transesophageal"
"93320","Doppler echo exam heart"
"93321","Doppler echo exam heart"
"93325","Doppler color flow add-on"
"93350","Stress tte only"
"93922","Upr/l xtremity art 2 levels"
"93923","Upr/lxtr art stdy 3+ lvls"
"93925","Lower extremity study"
"96374","Ther/proph/diag inj iv push"
"A9500","Tc99m sestamibi"
"J1250","Inj dobutamine HCL/250 mg"
"J2785","Regadenoson injection"
"93224","Ecg monit/reprt up to 48 hrs"
"93228","Remote 30 day ecg rev/report"
"97026","Infrared therapy"
"00740","Anesth upper gi visualize"
"00790","Anesth surg upper abdomen"
"00810","Anesth low intestine scope"
"00840","Anesth surg lower abdomen"
"90862","Medication management"
"01402","Anesth knee arthroplasty"
"64490","Inj paravert f jnt c/t 1 lev"
"64491","Inj paravert f jnt c/t 2 lev"
"64492","Inj paravert f jnt c/t 3 lev"
"72120","X-ray exam of lower spine"
"80154","Assay of benzodiazepines"
"80299","Quantitative assay drug"
"82145","Assay of amphetamines"
"82520","Assay of cocaine"
"82542","Column chromotography quant"
"83805","Assay of meprobamate"
"83925","Assay of opiates"
"83992","Assay for phencyclidine"
"J0670","Inj mepivacaine HCL/10 ml"
"99282","Emergency dept visit"
"66984","Cataract surg w/iol 1 stage"
"76514","Echo exam of eye thickness"
"92004","Eye exam new patient"
"92012","Eye exam established pat"
"92014","Eye exam & treatment"
"92020","Special eye evaluation"
"92083","Visual field examination(s)"
"92133","Cmptr ophth img optic nerve"
"92136","Ophthalmic biometry"
"92250","Eye exam with photos"
"33208","Insrt heart pm atrial & vent"
"92960","Cardioversion electric ext"
"92980","Insert intracoronary stent"
"93268","ECG record/review"
"93459","L hrt art/grft angio"
"93460","R&l hrt art/ventricle angio"
"93567","Inject suprvlv aortography"
"J0280","Aminophyllin 250 MG inj"
"83013","H pylori (c-13) breath"
"83014","H pylori drug admin"
"71035","Chest x-ray"
"00145","Anesth vitreoretinal surg"
"92552","Pure tone audiometry air"
"92556","Speech audiometry complete"
"92557","Comprehensive hearing test"
"93042","Rhythm ecg report"
"93005","Electrocardiogram tracing"
"94760","Measure blood oxygen level"
"36620","Insertion catheter artery"
"83037","Glycosylated hb home device"
"94640","Airway inhalation treatment"
"00350","Anesth neck vessel surgery"
"00562","Anesth hrt surg w/pmp age 1+"
"00567","Anesth cabg w/pump"
"93503","Insert/place heart catheter"
"10060","Drainage of skin abscess"
"10061","Drainage of skin abscess"
"11403","Exc tr-ext b9+marg 2.1-3 cm"
"11404","Exc tr-ext b9+marg 3.1-4 cm"
"11602","Exc tr-ext mal+marg 1.1-2 cm"
"11603","Exc tr-ext mal+marg 2.1-3 cm"
"11604","Exc tr-ext mal+marg 3.1-4 cm"
"11622","Exc s/n/h/f/g mal+mrg 1.1-2"
"11623","Exc s/n/h/f/g mal+mrg 2.1-3"
"11624","Exc s/n/h/f/g mal+mrg 3.1-4"
"11642","Exc f/e/e/n/l mal+mrg 1.1-2"
"11643","Exc f/e/e/n/l mal+mrg 2.1-3"
"11900","Injection into skin lesions"
"11901","Added skin lesions injection"
"12032","Intmd wnd repair s/a/t/ext"
"12042","Intmd wnd repair n-hf/genit"
"13121","Repair of wound or lesion"
"13132","Repair of wound or lesion"
"13152","Repair of wound or lesion"
"17111","Destruct lesion 15 or more"
"17282","Destruction of skin lesions"
"40490","Biopsy of lip"
"67810","Biopsy of eyelid"
"97597","Rmvl devital tis 20 cm/<"
"50323","Prep cadaver renal allograft"
"50360","Transplantation of kidney"
"98942","Chiropractic manipulation"
"00400","Anesth skin ext/per/atrunk"
"01844","Anesth vascular shunt surg"
"01992","Anesth n block/inj prone"
"51798","Us urine capacity measure"
"00104","Anesth electroshock"
"01922","Anesth cat or mri scan"
"99236","Observ/hosp same date"
"Q2039","NOS flu vacc, 3 yrs & >, im"
"88108","Cytopath concentrate tech"
"88172","Cytp dx eval fna 1st ea site"
"88173","Cytopath eval fna report"
"88177","Cytp fna eval ea addl"
"11301","Shave skin lesion"
"11302","Shave skin lesion"
"11311","Shave skin lesion"
"13101","Repair of wound or lesion"
"14060","Skin tissue rearrangement"
"17311","Mohs 1 stage h/n/hf/g"
"17312","Mohs addl stage"
"17313","Mohs 1 stage t/a/l"
"43239","Upper gi endoscopy biopsy"
"43249","Esoph endoscopy dilation"
"43450","Dilate esophagus"
"45380","Colonoscopy and biopsy"
"45385","Lesion removal colonoscopy"
"G0121","Colon ca scrn not hi rsk ind"
"92550","Tympanometry & reflex thresh"
"31622","Dx bronchoscope/wash"
"32421","Thoracentesis for aspiration"
"36569","Insert picc cath"
"49083","Abd paracentesis w/imaging"
"70470","Ct head/brain w/o & w/dye"
"70544","Mr angiography head w/o dye"
"70548","Mr angiography neck w/dye"
"72020","X-ray exam of spine"
"72072","X-ray exam of thoracic spine"
"72128","Ct chest spine w/o dye"
"72149","Mri lumbar spine w/dye"
"72190","X-ray exam of pelvis"
"72192","Ct pelvis w/o dye"
"72195","Mri pelvis w/o dye"
"73060","X-ray exam of humerus"
"73080","X-ray exam of elbow"
"73090","X-ray exam of forearm"
"73500","X-ray exam of hip"
"73520","X-ray exam of hips"
"73550","X-ray exam of thigh"
"73590","X-ray exam of lower leg"
"74010","X-ray exam of abdomen"
"74182","Mri abdomen w/dye"
"74185","Mri angio abdom w orw/o dye"
"74220","Contrast x-ray esophagus"
"74240","X-ray exam upper gi tract"
"74245","X-ray exam upper gi tract"
"74420","Contrst x-ray urinary tract"
"74450","X-ray urethra/bladder"
"76870","Us exam scrotum"
"77012","Ct scan for needle biopsy"
"78582","Lung ventilat&perfus imaging"
"00300","Anesth head/neck/ptrunk"
"00830","Anesth repair of hernia"
"00910","Anesth bladder surgery"
"00914","Anesth removal of prostate"
"01230","Anesth surgery of femur"
"01480","Anesth lower leg bone surg"
"99226","Subsequent observation care"
"31500","Insert emergency airway"
"G0168","Wound closure by adhesive"
"90471","Immunization admin"
"99356","Prolonged service inpatient"
"31620","Endobronchial us add-on"
"31623","Dx bronchoscope/brush"
"31624","Dx bronchoscope/lavage"
"31628","Bronchoscopy/lung bx each"
"31629","Bronchoscopy/needle bx each"
"31633","Bronchoscopy/needle bx addl"
"94620","Pulmonary stress test/simple"
"90817","Psytx hosp 20-30 min w/e&m"
"92511","Nasopharyngoscopy"
"G0268","Removal of impacted wax md"
"90805","Psytx off 20-30 min w/e&m"
"97113","Aquatic therapy/exercises"
"10022","Fna w/image"
"32422","Thoracentesis w/tube insert"
"36561","Insert tunneled cv cath"
"38221","Bone marrow biopsy"
"75989","Abscess drainage under x-ray"
"77001","Fluoroguide for vein device"
"G0364","Bone marrow aspirate &biopsy"
"00520","Anesth chest procedure"
"64445","N block inj sciatic sng"
"64447","N block inj fem single"
"64448","N block inj fem cont inf"
"Q2036","Flulaval vacc, 3 yrs & >, im"
"64418","N block inj suprascapular"
"17261","Destruction of skin lesions"
"17314","Mohs addl stage t/a/l"
"88302","Tissue exam by pathologist"
"96900","Ultraviolet light therapy"
"G9008","Mccd,phys coor-care ovrsght"
"11042","Deb subq tissue 20 sq cm/<"
"11055","Trim skin lesion"
"11720","Debride nail 1-5"
"11721","Debride nail 6 or more"
"11730","Removal of nail plate"
"11750","Removal of nail bed"
"11755","Biopsy nail unit"
"77077","Joint survey single view"
"43246","Place gastrostomy tube"
"45378","Diagnostic colonoscopy"
"49505","Prp i/hern init reduc >5 yr"
"80500","Lab pathology consultation"
"85060","Blood smear interpretation"
"85097","Bone marrow interpretation"
"88187","Flowcytometry/read 2-8"
"88189","Flowcytometry/read 16 & >"
"74300","X-ray bile ducts/pancreas"
"76376","3d render w/o postprocess"
"78815","Pet image w/ct skull-thigh"
"A9552","F18 fdg"
"73020","X-ray exam of shoulder"
"76776","Us exam k transpl w/doppler"
"76882","Us xtr non-vasc lmtd"
"77055","Mammogram one breast"
"93975","Vascular study"
"66821","After cataract laser surgery"
"92002","Eye exam new patient"
"92134","Cptr ophth dx img post segmt"
"11056","Trim skin lesions 2 to 4"
"11057","Trim skin lesions over 4"
"11719","Trim nail(s)"
"83615","Lactate (LD) (LDH) enzyme"
"76498","Mri procedure"
"71030","Chest x-ray"
"73140","X-ray exam of finger(s)"
"74247","Contrst x-ray uppr gi tract"
"78306","Bone imaging whole body"
"00532","Anesth vascular access"
"00670","Anesth spine cord surgery"
"01210","Anesth hip joint surgery"
"01916","Anesth dx arteriography"
"01924","Anes ther interven rad art"
"01936","Anesth perc img tx sp proc"
"10040","Acne surgery"
"11200","Removal of skin tags"
"12031","Intmd wnd repair s/a/t/ext"
"13131","Repair of wound or lesion"
"13151","Repair of wound or lesion"
"17262","Destruction of skin lesions"
"17272","Destruction of skin lesions"
"69100","Biopsy of external ear"
"96567","Photodynamic tx skin"
"J7308","Aminolevulinic acid hcl top"
"81001","Urinalysis auto w/scope"
"82043","Microalbumin quantitative"
"85048","Automated leukocyte count"
"50200","Renal biopsy perq"
"67820","Revise eyelashes"
"76519","Echo exam of eye"
"92225","Special eye exam initial"
"32405","Percut bx lung/mediastinum"
"47000","Needle biopsy of liver"
"70549","Mr angiograph neck w/o&w/dye"
"72074","X-ray exam of thoracic spine"
"73000","X-ray exam of collar bone"
"73650","X-ray exam of heel"
"74150","Ct abdomen w/o dye"
"74160","Ct abdomen w/dye"
"74246","Contrst x-ray uppr gi tract"
"74270","Contrast x-ray exam of colon"
"74280","Contrast x-ray exam of colon"
"78227","Hepatobil syst image w/drug"
"78315","Bone imaging 3 phase"
"92285","Eye photography"
"29881","Knee arthroscopy/surgery"
"43235","Uppr gi endoscopy diagnosis"
"64721","Carpal tunnel surgery"
"G0260","Inj for sacroiliac jt anesth"
"47562","Laparoscopic cholecystectomy"
"22851","Apply spine prosth device"
"92570","Acoustic immitance testing"
"92587","Evoked auditory test limited"
"27236","Treat thigh fracture"
"G0402","Initial preventive exam"
"20680","Removal of support implant"
"23430","Repair biceps tendon"
"26055","Incise finger tendon sheath"
"29848","Wrist endoscopy/surgery"
"29875","Knee arthroscopy/surgery"
"29880","Knee arthroscopy/surgery"
"90819","Psytx hosp 45-50 min w/e&m"
"65855","Laser surgery of eye"
"66982","Cataract surgery complex"
"68761","Close tear duct opening"
"83861","Microfluid analy tears"
"99304","Nursing facility care init"
"20985","Cptr-asst dir ms px"
"88300","Surgical path gross"
"88309","Tissue exam by pathologist"
"00630","Anesth spine cord surgery"
"01400","Anesth knee joint surgery"
"64415","N block inj brachial plexus"
"27245","Treat thigh fracture"
"73565","X-ray exam of knees"
"76000","Fluoroscope examination"
"J7323","Euflexxa inj per dose"
"66711","Ciliary endoscopic ablation"
"38792","Ra tracer id of sentinl node"
"62284","Injection for myelogram"
"70496","Ct angiography head"
"70498","Ct angiography neck"
"72069","X-ray exam of trunk spine"
"72132","Ct lumbar spine w/dye"
"73070","X-ray exam of elbow"
"74174","Ct angio abd&pelv w/o&w/dye"
"74250","X-ray exam of small bowel"
"76604","Us exam chest"
"78195","Lymph system imaging"
"93926","Lower extremity study"
"97124","Massage therapy"
"20931","Sp bone algrft struct add-on"
"22325","Treat spine fracture"
"22551","Neck spine fuse&remov bel c2"
"22612","Lumbar spine fusion"
"22630","Lumbar spine fusion"
"22633","Lumbar spine fusion combined"
"22634","Spine fusion extra segment"
"22840","Insert spine fixation device"
"38220","Bone marrow aspiration"
"61783","Scan proc spinal"
"62272","Drain cerebro spinal fluid"
"63030","Low back disk surgery"
"63047","Removal of spinal lamina"
"63048","Remove spinal lamina add-on"
"63056","Decompress spinal cord"
"63057","Decompress spine cord add-on"
"72052","X-ray exam of neck spine"
"67028","Injection eye drug"
"67042","Vit for macular hole"
"67145","Treatment of retina"
"67210","Treatment of retinal lesion"
"67515","Inject/treat eye socket"
"76512","Ophth us b w/non-quant a"
"92226","Special eye exam subsequent"
"92235","Eye exam with photos"
"92240","Icg angiography"
"J2778","Ranibizumab injection"
"J3590","Unclassified biologics"
"Q2046","Aflibercept injection"
"92025","Corneal topography"
"00103","Anesth blepharoplasty"
"00140","Anesth procedures on eye"
"01810","Anesth lower arm surgery"
"83002","Gonadotropin (LH)"
"83735","Assay of magnesium"
"84100","Assay of phosphorus"
"84146","Assay of prolactin"
"93313","Echo transesophageal"
"94762","Measure blood oxygen level"
"95811","Polysomnography w/cpap"
"31600","Incision of windpipe"
"97606","Neg press wound tx > 50 cm"
"92512","Nasal function studies"
"95024","Id allergy test drug/bug"
"95117","Immunotherapy injections"
"11300","Shave skin lesion"
"71270","Ct thorax w/o & w/dye"
"72220","X-ray exam of tailbone"
"73530","X-ray exam of hip"
"78264","Gastric emptying study"
"15260","Skin full graft een & lips"
"95816","Eeg awake and drowsy"
"95819","Eeg awake and asleep"
"95822","Eeg coma or sleep only"
"20600","Drain/inject joint/bursa"
"73100","X-ray exam of wrist"
"01214","Anesth hip arthroplasty"
"01996","Hosp manage cont drug admin"
"00541","Anesth one lung ventilation"
"87804","Influenza assay w/optic"
"J7620","Albuterol ipratrop non-comp"
"23350","Injection for shoulder x-ray"
"73222","Mri joint upr extrem w/dye"
"A9579","Gad-base MR contrast NOS,1ml"
"36010","Place catheter in vein"
"92540","Basic vestibular evaluation"
"43244","Upper GI endoscopy/ligation"
"43248","Uppr gi endoscopy/guide wire"
"43251","Operative upper GI endoscopy"
"43255","Operative upper GI endoscopy"
"44360","Small bowel endoscopy"
"J2550","Promethazine hcl injection"
"36600","Withdrawal of arterial blood"
"51701","Insert bladder catheter"
"52332","Cystoscopy and treatment"
"52353","Cystouretero w/lithotripsy"
"82310","Assay of calcium"
"82565","Assay of creatinine"
"84436","Assay of total thyroxine"
"84479","Assay of thyroid (t3 or t4)"
"84520","Assay of urea nitrogen"
"76377","3d rendering w/postprocess"
"77031","Stereotact guide for brst bx"
"00160","Anesth nose/sinus surgery"
"00320","Anesth neck organ 1yr/>"
"00537","Anesth cardiac electrophys"
"00868","Anesth kidney transplant"
"35476","Repair venous blockage"
"36147","Access av dial grft for eval"
"36558","Insert tunneled cv cath"
"75978","Repair venous blockage"
"22845","Insert spine fixation device"
"77263","Radiation therapy planning"
"77280","Set radiation therapy field"
"77290","Set radiation therapy field"
"77295","Set radiation therapy field"
"77300","Radiation therapy dose plan"
"77301","Radiotherapy dose plan imrt"
"77315","Teletx isodose plan complex"
"77332","Radiation treatment aid(s)"
"77334","Radiation treatment aid(s)"
"77338","Design mlc device for imrt"
"99342","Home visit new patient"
"99347","Home visit est patient"
"93040","Rhythm ECG with report"
"99336","Domicil/r-home visit est pat"
"99343","Home visit new patient"
"99344","Home visit new patient"
"G0181","Home health care supervision"
"G0372","MD service required for PMD"
"95886","Musc test done w/n test comp"
"95900","Motor nerve conduction test"
"95903","Motor nerve conduction test"
"95904","Sense nerve conduction test"
"95934","H-reflex test"
"J7613","Albuterol non-comp unit"
"J7644","Ipratropium bromide non-comp"
"J7325","Synvisc or Synvisc-One"
"31627","Navigational bronchoscopy"
"31641","Bronchoscopy treat blockage"
"94727","Pulm function test by gas"
"G0105","Colorectal scrn; hi risk ind"
"36148","Access av dial grft for proc"
"36589","Removal tunneled cv cath"
"37191","Ins endovas vena cava filtr"
"49021","Drain abdominal abscess"
"72198","Mr angio pelvis w/o & w/dye"
"72291","Perq verte/sacroplsty fluor"
"73620","X-ray exam of foot"
"73725","Mr ang lwr ext w or w/o dye"
"G0365","Vessel mapping hemo access"
"51702","Insert temp bladder cath"
"51705","Change of bladder tube"
"52352","Cystouretero w/stone remove"
"52601","Prostatectomy (TURP)"
"96402","Chemo hormon antineopl sq/im"
"78492","Heart image (pet) multiple"
"93225","Ecg monit/reprt up to 48 hrs"
"A9555","Rb82 rubidium"
"J1245","Dipyridamole injection"
"20526","Ther injection carp tunnel"
"25447","Repair wrist joints"
"25560","Treat fracture radius & ulna"
"26480","Transplant hand tendon"
"29075","Application of forearm cast"
"Q4010","Cast sup sht arm adult fbrgl"
"22614","Spine fusion extra segment"
"22842","Insert spine fixation device"
"93272","Ecg/review interpret only"
"93280","Pm device progr eval dual"
"93613","Electrophys map 3d add-on"
"93620","Electrophysiology evaluation"
"93621","Electrophysiology evaluation"
"83540","Assay of iron"
"96361","Hydrate iv infusion add-on"
"96367","Tx/proph/dg addl seq iv inf"
