credential,n,cleaned_credential,source
RPA,12,,
A.P.R.N.,11,,
CCC-A,11,,
"RN, ANP",11,,
A.N.P.,10,,
"AU.D., CCC-A",10,,
AUDIOLOGIST,10,,
CSW,10,,
EDD,10,,
LCSWR,10,,
LSW,10,,
M.D. PH.D.,10,MD,
"M.D., PH.D",10,MD,
M.D>,10,MD,
MD FACS,10,MD,
"MD, FACS",10,MD,
N.P,10,NursePractitioner,
OPTOMETRIST,10,,
P.A,10,,
P.A. - C,10,,
PH D,10,,
RPAC,10,,
"APRN, CRNA",9,,
"APRN,BC",9,,
CHIROPRACTOR,9,,
M.B.B.S.,9,,
"M.D., P.C.",9,MD,
"MSN, FNP",9,,
"MSN, FNP-BC",9,,
OTRL,9,,
"PA-C, MPAS",9,NursePractitioner,
PMHNP-BC,9,,
RNCS,9,,
C.R.N.A,8,,
DNP,8,,
"DPT, ATC",8,,
F.N.P,8,,
"M.D., M.P.H",8,MD,
M.S. CCC-A,8,MS,
"MD,PHD",8,MD,
"MS,PT",8,MS,
MSN,8,,
PSY D,8,,
PT DPT,8,,
RN FNP,8,,
WHNP,8,,
APRN-C,7,,
"APRN, NP-C",7,,
ARNP-BC,7,,
"AUD, CCC-A",7,,
"D.C., C.C.S.P.",7,,
L.I.C.S.W.,7,,
L.I.S.W.,7,,
"M.D., MPH",7,MD,
MD PC,7,MD,
"MD, FACC",7,MD,
"MSN, CRNP",7,SocialWorker,
PAA,7,,
"PT, MS",7,,
"PT, OCS",7,,
R.N.,7,,
A.A.,6,,
"DDS, MD",6,MD,
"DPT, CSCS",6,,
"DPT, OCS",6,,
FPMHNP,6,,
L.P.T.,6,,
MA CCCA,6,,
MD FACP,6,MD,
"MD, MBA",6,MD,
"MD, PH.D.",6,MD,
"MPT, ATC",6,,
"MPT, CSCS",6,,
"MS, CCC-A",6,,
MSW LICSW,6,,
"OTR, CHT",6,,
P. A.,6,,
PSYCHOLOGIST,6,,
"PSYD, LP",6,,
"PT, ATC",6,,
"PT,DPT",6,,
"RN, MSN, FNP",6,NursePractitioner,
"RN, MSN, FNP-BC",6,NursePractitioner,
"RN, NP",6,NursePractitioner,
SLP,6,,
ACNS-BC,5,,
APRN BC,5,,
"APRN, FNP-BC",5,,
AUD.,5,,
C.F.N.P.,5,,
D C,5,,
"D.D.S., M.D.",5,MD,
DOCTOR OF CHIROPRACT,5,,
F.N.P.-C,5,,
LCSWC,5,,
"M,D,",5,MD,
"M,D.",5,MD,
"M.A., CCC-SLP",5,,
"M.B., B.S.",5,,
M.B.B.S,5,,
M.D. PHD,5,MD,
"M.D.,F.A.C.C.",5,MD,
"M.D.,F.A.C.S.",5,MD,
"M.D.,PH.D.",5,MD,
"M.S.W., L.C.S.W.",5,SocialWorker,
"MD,",5,MD,
"MD, PA",5,MD,
"MD,MPH",5,MD,
MS CCCA,5,,
"MS, OTR/L",5,,
"MSN, NP",5,,
"OTR/L,CHT",5,,
OTRL CHT,5,,
PH. D.,5,PhD,
PHD MD,5,MD,
PHYSICAL THERAPY,5,,
PSY. D.,5,,
"PT, DPT, OCS",5,,
R.P.A.C.,5,,
R.P.T,5,,
"RN, CNS",5,NursePractitioner,
"RN, NP-C",5,NursePractitioner,
A.P.N.,4,,
A.R.N.P,4,,
"APRN, FNP",4,,
"ARNP, FNP-C",4,,
AUD CCCA,4,,
C-FNP,4,,
C.N.M.,4,,
CANP,4,,
CCC-SLP,4,,
CH,4,,
"D.C., M.S.",4,,
DC CCSP,4,,
DDS MD,4,,
"DO, MPH",4,,
DOCTOR OF OPTOMETRY,4,,
FNP C,4,,
"FNP, BC",4,,
GNP-BC,4,,
LMSW ACSW,4,,
"M.A.,CCC-A",4,,
M.D. P.A.,4,MD,
"M.D., F.A.C.O.G.",4,MD,
"M.D., F.A.C.P.",4,MD,
"M.D., FACP",4,MD,
"M.D., J.D.",4,MD,
"M.D., PH. D.",4,MD,
"M.D.,M.P.H.",4,MD,
"M.D.,P.A.",4,MD,
M.D.F.A.C.S.,4,MD,
M.D.P.A.,4,MD,
M.ED.,4,,
"M.S., P.T.",4,,
"MA, CCC-A",4,,
MBBCH,4,,
MC,4,,
MD FACOG,4,,
MD FCCP,4,,
"MD, FACP",4,,
ME,4,,
MSN-CRNA,4,,
"MSN, FNP-C",4,,
"MSW, LISW",4,,
"MSW, LSW",4,,
"O.D., M.S.",4,,
O.T.R.,4,,
"OTRL, CHT",4,,
PHD LP,4,PhD,
"PHD, LP",4,PhD,
PHD.,4,PhD,
PHYSICIANS ASSISTANT,4,,
PSYD LP,4,,
"PT, CHT",4,,
"PT, MSPT",4,,
PT/CHT,4,,
RN MSN FNP,4,,
"RN, APN",4,,
"RN, MSN, FNP-C",4,,
RNNP,4,,
SRNA,4,,
A.UD.,3,,
AAC,3,,
APRN-CNP,3,,
APRN-NP,3,,
"APRN, BC, FNP",3,,
APRNBC,3,,
"ARNP, FNP-BC",3,,
"ARNP, NP-C",3,,
AU D,3,,
AU. D.,3,,
"B.S., D.C.",3,,
"B.S.,D.C.",3,,
"CRNA, APRN",3,,
"CRNA, ARNP",3,,
D O,3,,
"D.C,",3,,
"D.C., D.A.C.N.B.",3,,
"D.C., F.A.C.O.",3,,
"D.C., P.A.",3,,
"D.C., P.C.",3,,
D.M.D,3,,
"D.M.D., M.D.",3,,
"D.O,",3,,
"D.O., M.P.H.",3,,
"D.O., MPH",3,,
DC CHIROPRACTOR,3,,
DDS MS,3,,
"DDS, MS",3,,
DMD MD,3,,
"DO, MS",3,,
"DPM, FACFAS",3,,
FAMILY NURSE PRACTIT,3,,
GNP-C,3,,
LCSW MSW,3,,
LCSW R,3,,
"LCSW, ACSW",3,,
LDN,3,,
LISW-CP,3,,
LP,3,,
LSCW,3,,
M.A. CCC-A,3,,
M.AUD.,3,,
"M.D., D.M.D.",3,,
"M.D., FACEP",3,,
"M.D., M.B.A",3,,
"M.D., M.B.A.",3,,
"M.D., M.H.S.",3,,
"M.D., PA",3,,
M.D..,3,,
M.T.,3,,
MA CCC A,3,,
MA OTR CHT,3,,
MD  PHD,3,,
MD FACEP,3,,
MD MBA,3,,
"MPT, OCS",3,,
MS CCC-A,3,,
MS FNP,3,,
MS OTR/L,3,,
"MS, APRN, BC",3,,
"MS, RD, LD",3,,
MSN CRNP,3,,
"MSN, ANP",3,,
"MSN, NP-C",3,,
"MSPAS, PA-C",3,,
"MSPT, ATC",3,,
MSW LISW,3,,
N.P.-C,3,,
"O.D., F.A.A.O.",3,,
O.T,3,,
OT CHT,3,,
"OTD, OTR/L",3,,
OTR L,3,,
P.A.C,3,,
P.H.D.,3,,
"P.T., DPT",3,,
"PA-C, MPH",3,,
PA.C,3,,
"PH.D., L.P.",3,,
PHD HSPP,3,,
"PHD, CRNP",3,,
PMHCNS-BC,3,,
PSYD.,3,,
PT OCS,3,,
"PT, DPT, ATC",3,,
"PT, DPT, CSCS",3,,
"PT, MPT",3,,
"R.D., L.D.",3,,
"RD, LDN",3,,
RN CNP,3,,
RN CNS,3,,
RN NP,3,,
"RN, CRNP",3,,
"RN, FNP-C",3,,
"RN, MSN",3,,
"RN, MSN, NP-C",3,,
"RN, WHNP",3,,
RN/NP,3,,
A.N.P,2,,
APMHNP,2,,
APN-BC,2,,
"APN, FNP-BC",2,,
APNC,2,,
APRN CRNA,2,,
"APRN, ANP-BC",2,,
"APRN, MSN, NP-C",2,,
"ARNP, FNP",2,,
AU. D,2,,
AU.D.  CCC-A,2,,
"AUD., CCC-A",2,,
BS PT,2,,
BSPT,2,,
C-NP,2,,
C.N.S.,2,,
CCCA,2,,
"CNM, ARNP",2,,
"CRNA, MS",2,,
CRNAP,2,,
CRNP-FAMILY,2,,
CRNP-PMH,2,,
"CRNP, FNP-BC",2,,
D P M,2,,
"D.C., B.S.",2,,
"D.C., M.D.",2,,
"D.C., NP-C",2,,
"D.M.D, M.D.",2,,
"D.O., J.D.",2,,
"D.O., M.A.",2,,
"D.O., PH.D.",2,,
"D.O., PHARM.D.",2,,
D.O..,2,,
D.P.M. P.A.,2,,
"D.P.T., C.H.T.",2,,
DC CHIROPRACTIC PHYS,2,,
"DC, DACNB",2,,
"DC, DICCP",2,,
"DDS,MD",2,,
"DMD, MD",2,,
"DNP, ARNP",2,,
"DO, PH.D.",2,,
DPM PC,2,,
"DPM, PC",2,,
DPT ATC,2,,
"DPT, OTR",2,,
"DPT, PT",2,,
"DSW, LCSW",2,,
ED.D,2,,
ENP,2,,
F. N. P.,2,,
F.N.P.-C.,2,,
FAMILY NURSE PRACTIO,2,,
FAMILY PRACTICE,2,,
FNP- BC,2,,
"FNP-BC, GNP-BC",2,,
GRNA,2,,
"JR., M.D.",2,,
L.C.S.W,2,,
L.P.,2,,
"LCSW, CADC",2,,
"LCSW, DCSW",2,,
"LCSW, LAC",2,,
LICSW LADC,2,,
"LICSW, LCDP",2,,
LLMSW,2,,
LMHP,2,,
LRD,2,,
M. D,2,,
M.A. F-AAA,2,,
"M.A., FAAA",2,,
"M.B.B.S, M.D.",2,,
"M.D. , PH.D.",2,,
M.D. F.A.C.S.,2,,
M.D. P.C.,2,,
M.D. PA,2,,
M.D. PH.D,2,,
M.D. PSYCHIATRIST,2,,
M.D.-PH.D.,2,,
"M.D., D.O.",2,,
"M.D., F.C.C.P.",2,,
"M.D., FACS",2,,
"M.D., P.H.D.",2,,
"M.D., PHD.",2,,
"M.D.,F.A.C.O.G.",2,,
"M.D.,FACS",2,,
"M.D.,PHD.",2,,
M.D./PH.D,2,,
M.D./PH.D.,2,,
M.P.T,2,,
M.S. CCC-SLP,2,,
M.S. P.T.,2,,
"M.S., CCC-SLP",2,,
"M.S., CCC/A",2,,
"M.S., D.C.",2,,
"M.S.,P.T.",2,,
"M.S.N., C.R.N.P.",2,,
MB BS,2,,
"MB, BCH, BAO",2,,
MD  PA,2,,
MD ANESTHESIOLOGIST,2,,
MD DO,2,,
MD FACC FSCAI,2,,
MD JD,2,,
MD LLC,2,,
"MD, DDS",2,,
"MD, DMD",2,,
"MD, DO",2,,
"MD, FACEP",2,,
"MD, MA",2,,
"MD, MSC",2,,
"MD, MSPH",2,,
"MD, PH.D",2,,
"MD,FACS",2,,
MD/PHD,2,,
MDPA,2,,
MDPC,2,,
"MHS, PA-C",2,,
"MOT, OTR/L",2,,
MOTRL,2,,
"MPT, DPT",2,,
MS CCC A,2,,
MS CCC SLP,2,,
MS CCC-SLP,2,,
MS RN CS,2,,
"MS, APRN, FNP-C",2,,
"MS, CRNA",2,,
"MS, DPT",2,,
"MS, OTR/L, CHT",2,,
MSN FNP,2,,
MSN-FNP,2,,
"MSN, APRN, BC",2,,
"MSN, ARNP",2,,
"MSN, CNP",2,,
"MSN, CRNA",2,,
"MSN, RN, ACNS-BC",2,,
"MSN, WHNP",2,,
"MSN,CRNP",2,,
"MSN,FNP",2,,
MSOTR/L,2,,
"MSPT, CSCS",2,,
MSSW,2,,
"MSW, LISW-CP",2,,
"MSW,LCSW",2,,
N P,2,,
N. P.,2,,
"NP-C, RN",2,,
O D,2,,
"O.D,",2,,
O.D. PC,2,,
"O.D., P.A.",2,,
OCCUPATIONAL THERAPI,2,,
OD PC,2,,
"OD, FAAO",2,,
"OD, PA",2,,
OD.,2,,
OTL,2,,
OTR CHT,2,,
OTR L CHT,2,,
P. T.,2,,
"P.T., A.T.C.",2,,
PA - C,2,,
PA -C,2,,
PA- C,2,,
"PA-C, MS",2,,
PA-S,2,,
PC,2,,
PCNS,2,,
PD.D.,2,,
"PH.D., HSPP",2,,
"PH.D., M.D.",2,,
"PHD, FNP",2,,
"PHD, MD",2,,
"PHD, PT",2,,
PNP,2,,
"PSY.D., LPC",2,,
PSYCHIATRIST,2,,
PT CHT,2,,
PT MPT OCS,2,,
PT MS,2,,
"PT,",2,,
"PT, DPT, CHT",2,,
"PT, OT",2,,
"PT, PHD",2,,
"PT,CHT",2,,
"PT,MSPT",2,,
PTA,2,,
R-PAC,2,,
"R.D.,L.D.",2,,
"R.N., F.N.P.",2,,
"R.N., N.P.",2,,
R.N.P.,2,,
R.PH,2,,
RD CDE,2,,
RD LD CDE,2,,
"RD,LD",2,,
RN CFNP,2,,
RN MSN GNP-BC,2,,
RN PRACTITIONER,2,,
"RN, ACNS-BC",2,,
"RN, APN-C",2,,
"RN, APN, C",2,,
"RN, ARNP, CRNA",2,,
"RN, BC, ANP",2,,
"RN, BSN",2,,
"RN, CDE",2,,
"RN, FNP-BC",2,,
"RN, LCSW",2,,
"RN, MSN, ANP-C",2,,
"RN, MSN, APN",2,,
"RN, MSN, APN-C",2,,
"RN, MSN, CNP",2,,
"RN, PMHNP",2,,
"RN,CNP",2,,
"RN,FNP",2,,
"RN,MSN,CFNP",2,,
"RNC, NP",2,,
SC.D,2,,
"(P.T,  DPT)",1,,
A R N P,1,,
A.C.N.P.,1,,
A.N.P-BC,1,,
A.P. N.,1,,
A.P.N,1,,
"A.P.N., C.N.M.",1,,
A.P.N.P.,1,,
A.P.R.N,1,,
A.P.R.N.-BC,1,,
"A.P.R.N., B.C.",1,,
"A.P.R.N., C.N, M,",1,,
"A.P.R.N., F.N.P.",1,,
"A.R.N.P., M.S.N",1,,
A/G. N.P.,1,,
A/GNP,1,,
A/GNP-C,1,,
"ACNP-BC, ARNP",1,,
"ACNP-BC, ARNP-C",1,,
ACNP-CS,1,,
ACNP/FNP,1,,
ACNPC,1,,
ACNS,1,,
ACNS-C,1,,
"ACNS, FNP-C",1,,
ACSW,1,,
ACSW LMSW,1,,
"ACSW, LCSW, DCSW",1,,
"ACSW, LISW-S",1,,
ADV PRACTICE RN,1,,
AFNP,1,,
ALI AGHAMOHAMMADI MD,1,,
"ANDREW KASPER, M.D.",1,,
ANP (FNP),1,,
ANP C,1,,
ANP-BC  APNP,1,,
"ANP-BC, ACHPN",1,,
"ANP-BC, GNP-BC",1,,
"ANP-C, AOCNP",1,,
"ANP-C, MSN",1,,
"ANP-C, RN",1,,
ANP-FNP-BC,1,,
"ANP, BC",1,,
"ANP, RN",1,,
"ANP, RN FA",1,,
"ANP,BC",1,,
"ANP,C",1,,
ANRP,1,,
AON,1,,
APN BC,1,,
"APN-BC, APNP, RN",1,,
"APN-BC, CWOCN",1,,
"APN, CNM, MSN",1,,
"APN, CNP",1,,
"APN, CS.",1,,
"APN, CWS",1,,
"APN, FNP",1,,
"APN, GNP-BC",1,,
"APN, NP-C",1,,
"APN, RNC",1,,
"APN,C",1,,
"APN,RN",1,,
APN.,1,,
APN/CNS,1,,
"APNP,FNP-C,MSN,APRN",1,,
APRN - NP,1,,
APRN BC ADULT PSYCH,1,,
APRN BC GNP,1,,
APRN BC MSN CNP,1,,
APRN BC PSYCH NP,1,,
APRN C-FNP,1,,
APRN CNS,1,,
APRN MSN,1,,
APRN NP-C,1,,
APRN PHD MSW,1,,
APRN PLLC,1,,
"APRN-BC, FNP",1,,
"APRN-BC, FNP, NNP",1,,
"APRN-BC, GNP",1,,
APRN-FNP,1,,
"APRN, APN-BC",1,,
"APRN, BC-F",1,,
"APRN, BC-PCM",1,,
"APRN, BC, CDE",1,,
"APRN, BC/FNP",1,,
"APRN, CFNP",1,,
"APRN, DNP",1,,
"APRN, DNP, FNP-BC",1,,
"APRN, FNP-C",1,,
"APRN, FNP, CNP",1,,
"APRN, LADC, RN",1,,
"APRN, MS, MPH",1,,
"APRN, MSN",1,,
"APRN, MSN, ACNP",1,,
"APRN, MSN, CCNS",1,,
"APRN, PMHNP",1,,
"APRN, RD",1,,
"APRN, RN",1,,
"APRN,BC (NP)",1,,
"APRN,BC, MN, RNC",1,,
"APRN,CS",1,,
"APRN,NP",1,,
APRN.FNP,1,,
ARNP  FNP-C,1,,
ARNP BC,1,,
ARNP MS RN FNP BC,1,,
ARNP-CNP,1,,
ARNP-CS,1,,
"ARNP, APN",1,,
"ARNP, BC",1,,
"ARNP, BC-ADM, FAAN",1,,
"ARNP, BSN, MN",1,,
"ARNP, CDE",1,,
"ARNP, CFNP",1,,
"ARNP, CNM",1,,
"ARNP, CRNA",1,,
"ARNP, CWCN",1,,
"ARNP, LMHC",1,,
"ARNP, MN",1,,
"ARNP, PHD",1,,
ARNP/CNM,1,,
ARNP/CRNA,1,,
ARPN,1,,
ATC,1,,
"ATC, PA-C",1,,
"ATC, PAC",1,,
"ATC/L, CSCS, PA-C",1,,
AU,1,,
"AU.D, CCC/A",1,,
"AU.D,CCC-A",1,,
"AU.D. , PH.D.",1,,
AU.D. CCC-A,1,,
"AU.D., F-AAA",1,,
"AU.D., FAAA",1,,
AUD CCC A SLP,1,,
AUD CCC-A,1,,
"AUD, CCC-A, FAAA",1,,
"AUD, CERT.AVT",1,,
"AUD, F.A.A.A",1,,
"AUD, SLP",1,,
"AUD., CCC-A. FAAA",1,,
AUD/CCC-A,1,,
AUDIIOLOGIST,1,,
"AUDIOLOGIST MA.,CCCA",1,,
AUDIOLOGY,1,,
AUDIOLOGY PC,1,,
"B.A.,  D.C.",1,,
"B.P.T., R.P.T.",1,,
B.S.,1,,
"B.S., DC, DABCN",1,,
"B.SC PT, CYI",1,,
BC-FNP,1,,
BCD,1,,
BCPMHNP,1,,
BS,1,,
BS  DC,1,,
BS DPT,1,,
BS MS BSN MSN CNP,1,,
BS RD,1,,
"BS, MD",1,,
"BS, MPS, PT",1,,
"BS, MPT, DPT",1,,
"BS, MS, CRNA",1,,
"BS, MSW, LCSW",1,,
"BS, PA",1,,
BS/OT,1,,
"BSC, PT",1,,
BSCPT,1,,
"BSIN ED , D.C.",1,,
BSMT,1,,
"BSN, MN, PMH-NP",1,,
"BSN,MSN,APRN,BC",1,,
"BSN,MSN,CRNFA,ARNP",1,,
"BSN,RN,NP-C",1,,
BSN. FNP,1,,
C FNP,1,,
C-PA,1,,
C-PAC,1,,
C. F. N. P.,1,,
"C.A., L.A.",1,,
C.C.S.P,1,,
"C.R.N.A,",1,,
C.R.N.P,1,,
C.S.W.,1,,
CADC III,1,,
CCA,1,,
"CCC-A, FAAA",1,,
"CCC-A, MA",1,,
CECILIA HANSEN,1,,
CERTIFIED DIETICIAN,1,,
CERTIFIED FAMILY NUR,1,,
CF NP,1,,
CFP,1,,
CFPMHNP,1,,
CHIROPRACTOR DC,1,,
CHT,1,,
CLINICAL NURSE SPEC,1,,
CLINICAL NURSE SPECI,1,,
CLINICAL PSYCHOLOGIS,1,,
CLINICAL SOCIAL WORK,1,,
CMW,1,,
CNM CFNP,1,,
CNM FNP,1,,
"CNM, FNP",1,,
"CNM, FNP-BC",1,,
"CNM, FNP, APRN",1,,
"CNM, MSN",1,,
"CNM, NP-C",1,,
"CNP, APN",1,,
"CNP, APRN",1,,
CNRA,1,,
CNS DNS,1,,
CNS RXN,1,,
CNS-APRN-BC,1,,
"CNS, APRN-BC",1,,
"CNS,CRNFA,RNFA",1,,
CNS/ANP,1,,
CP,1,,
"CPM, CRNP",1,,
CPNP,1,,
CR,1,,
CRNA ARNP,1,,
CRNA BS,1,,
CRNA MAE,1,,
CRNA MS,1,,
CRNA-NP,1,,
CRNA-P,1,,
"CRNA, ACNP",1,,
"CRNA, ANRP",1,,
"CRNA, APN",1,,
"CRNA, APNP",1,,
"CRNA, ARNP,BA ,RN",1,,
"CRNA, CRNP",1,,
"CRNA, MSN",1,,
"CRNA, NP, DNP",1,,
"CRNA, R.N.",1,,
"CRNA, RN, BSN",1,,
"CRNA,APRN",1,,
"CRNA,ARNP",1,,
"CRNA,MS",1,,
CRNA.,1,,
CRNA/ARNP,1,,
CRNFA,1,,
CRNP - ACUTE CARE,1,,
CRNP- FAMILY,1,,
CRNP-AC,1,,
"CRNP, ANP-BC",1,,
CS FNP,1,,
CS-FNP,1,,
"CSW, ACSW",1,,
"CSWR, RPT",1,,
D C P A,1,,
D P M INC,1,,
"D,C.",1,,
"D,O.",1,,
D. D. S.,1,,
D..,1,,
D..O,1,,
"D.C, B.S.",1,,
"D.C, Q.M.E.",1,,
D.C.  P.T.,1,,
"D.C. , FASA",1,,
D.C. D.O.,1,,
D.C. L.AC.,1,,
D.C. P.C.,1,,
D.C. WITH P.T. PRIV.,1,,
"D.C.,  D.O.M",1,,
"D.C., A.P.",1,,
"D.C., A.R.T.",1,,
"D.C., B.S., C.C.E.P.",1,,
"D.C., B.S.R.T.",1,,
"D.C., C.AD.",1,,
"D.C., C.C.S.P",1,,
"D.C., C.S.S.P.",1,,
"D.C., CA",1,,
"D.C., CCEP, CSCS",1,,
"D.C., D.A.B.C.I.",1,,
"D.C., D.A.B.C.O.",1,,
"D.C., D.A.C.A.N.",1,,
"D.C., D.A.C.B.N.",1,,
"D.C., D.I.C.C.P.",1,,
"D.C., DABCO",1,,
"D.C., DACNB",1,,
"D.C., DIBCN",1,,
"D.C., F.I.A.M.A.",1,,
"D.C., F.I.C.S.,",1,,
"D.C., FICPA",1,,
"D.C., FNP",1,,
"D.C., L.AC.",1,,
"D.C., LAC",1,,
"D.C., MSC., DABN",1,,
"D.C., P.T.",1,,
"D.C., P.T., M.C.T.A.",1,,
"D.C., Q.M.E.",1,,
"D.C., R.D., L.D.N.",1,,
"D.C., R.P.T.",1,,
"D.C.,B.C.A.O.",1,,
"D.C.,C.C.S.P",1,,
"D.C.,C.S.C.S.,D.A.B.",1,,
"D.C.,D.A.C.N.B.",1,,
"D.C.,F.A.S.B.E.",1,,
"D.C.,P.C.",1,,
D.C..,1,,
D.C>,1,,
D.D.S,1,,
"D.D.S., O.M.S.",1,,
"D.D.S.,M.S.",1,,
"D.M.D.,M.D.,F.A.C.S.",1,,
D.MIN.,1,,
D.N.,1,,
D.N.P.,1,,
"D.O, M.P.H.",1,,
"D.O,MBA,MS,MT(ASCP)",1,,
D.O.   FACEP,1,,
D.O.   M.P.H.,1,,
D.O.  PC,1,,
D.O. FACEP,1,,
D.O. PA,1,,
"D.O.,  PH. D.",1,,
"D.O., F.A.C.E.P.",1,,
"D.O., F.A.C.O.S.",1,,
"D.O., F.A.C.P",1,,
"D.O., FACEP",1,,
"D.O., FACOEP",1,,
"D.O., M. H. A.",1,,
"D.O., M.D.,",1,,
"D.O., M.P.H",1,,
"D.O., M.S.",1,,
"D.O., PH.D",1,,
"D.O.,F.A.C.O.I.",1,,
"D.O.,R.V.T.,R.P.V.I.",1,,
D.O./MPH,1,,
"D.P,M.",1,,
D.P. M.,1,,
"D.P.M, C.PED",1,,
"D.P.M.,",1,,
"D.P.M., F.A.C.F.A.S.",1,,
"D.P.M., FACFAS",1,,
"D.P.M., INC.",1,,
"D.P.M., M.P.H.",1,,
"D.P.T., A.T.C",1,,
"D.P.T., O.C.S.",1,,
"D.P.T., P.T.",1,,
D.PM,1,,
D.S.W.,1,,
D>C>,1,,
D>O>,1,,
DC  CCSP  CVCP,1,,
DC  DACBN,1,,
DC ; PT,1,,
DC CACCP,1,,
DC CCEP CCSP,1,,
DC CCN DACN DACBN,1,,
DC CCST,1,,
DC CSCS,1,,
DC DABCI,1,,
DC DABCN,1,,
DC DACAN,1,,
DC DACBN,1,,
DC DACNB,1,,
DC DACRB CCN DACBN,1,,
DC DIBCN,1,,
DC DOCTOR OF CHIROPR,1,,
DC FIACA,1,,
DC FICC,1,,
DC LAC,1,,
DC NMD MD DIPL AC,1,,
DC PA,1,,
DC W/PT PRIVILEGES,1,,
"DC, ATC",1,,
"DC, ATC, CSCS",1,,
"DC, ATC, EXPH",1,,
"DC, CCSP, DACBN",1,,
"DC, CCST",1,,
"DC, DACBN, CCN",1,,
"DC, DACBR",1,,
"DC, DACBSP",1,,
"DC, DIPL. AC(NCCAOM)",1,,
"DC, FICCI",1,,
"DC, ND",1,,
"DC, NP-C",1,,
"DC, QME",1,,
"DC,DACRB",1,,
DC.,1,,
DCPA,1,,
DCPC,1,,
DCSW,1,,
DDS MDS PHD,1,,
DDS PHD,1,,
"DDS, M.D.",1,,
"DDS, MS, PC",1,,
"DDS, MSD, MS",1,,
"DDS, PC",1,,
"DDS, PHD",1,,
"DDS,MS (R)",1,,
"DHSC., MPAS, PA-C",1,,
DIETITIAN,1,,
DMD MS,1,,
"DMIN, PHD, ABMP",1,,
"DNP, ACNP-BC, ANP-BC",1,,
"DNP, APN",1,,
"DNP, APRN, ACNP-BC",1,,
