Cell Line Name,tissue of origin,age,sex,prior treatment,Epithelial,histology,source,ploidy,p53,mdr,doublingtime
LE:MOLT_4,Leukemia,19,M,VB/6MP/Pred,no,ALL (cells were taken when patient was in relapse),PB,"4n, Tetraploid (92)",WT,10,27.9
LE:RPMI_8226,Leukemia,61,M,None,no,Myeloma,PB,"3n-, Hypotriploid (58-68)",WT,-3,33.5
LE:SR,Leukemia,11,M,Y,no,Lymphoma,NA,"2n+/-, Near-diploid 46+/- (35-57)",?,4,28.7
ME:LOXIMVI,Melanoma,58,M,None,no,Malignant amelanotic melanoma,NA,"3n+/-, Near-triploid 69+/- (58-80)",WT,12,20.5
ME:MALME_3M,Melanoma,43,M,None,no,Malignant melanotic melanoma,Metastasis,"4n+/-, Near-tetraploid 92+/- (81-103)",WT,22,46.2
ME:M14,Melanoma,NA,NA,NA,no,Melanotic melanoma,NA,"3n+/-, Near-triploid 69+/- (58-80)",MT,14,26.3
ME:SK_MEL_2,Melanoma,60,M,None,no,Malignant melanotic melanoma,Metastasis,"4n-, Hypotetraploid (81-91)",WT,14,45.5
ME:SK_MEL_28,Melanoma,51,M,None,no,Malignant melanotic melanoma,NA,"4n-, Hypotetraploid (81-91)",MT,11,35.1
ME:SK_MEL_5,Melanoma,24,F,None,no,Malignant melanotic melanoma,Metastasis,"4n+, Hypertetraploid (93-103)",WT,12,25.2
ME:UACC_257,Melanoma,NA,NA,NA,no,Melanotic melanoma,NA,"3n+, Hypertriploid (70-80)",WT,26,38.5
ME:UACC_62,Melanoma,NA,NA,NA,no,Melanotic melanoma,NA,"3n+/-, Near-triploid 69+/- (58-80)",WT,8,31.3
ME:MDA_MB_435,Melanoma,31,F,NA,no,Ductal carcinoma- mammary gland; breast; duct; metastatic site: pleural effusion;,Pleural effusion,"2n+, Hyperdiploid (47-57)",MT,20,25.8
ME:MDA_N,Melanoma,31,F,NA,no,Ductal carcinoma- mammary gland; breast; duct; metastatic site: pleural effusion;,Pleural effusion,NA,MT,12,22.5
LC:A549,Non-Small Cell Lung,58,M,NA,yes,Adenocarcinoma-p/md,NA,"3n+/-, Near-triploid 69+/- (58-80)",WT,10,22.9
LC:EKVX,Non-Small Cell Lung,NA,M,NA,yes,Adenocarcinoma-md,NA,"3n+/-, Near-triploid 69+/- (58-80)",MT,-9,43.6
LC:HOP_62,Non-Small Cell Lung,60,F,None,yes,adenocarcinoma-ud,NA,"4n+, Hypertetraploid (93-103)",MT,61,39
LC:HOP_92,Non-Small Cell Lung,62,M,None,yes,Large cell-ud,NA,"4n+/-, Near-tetraploid 92+/- (81-103)",MT,-4,79.5
LC:NCI_H226,Non-Small Cell Lung,NA,M,None (non smoker),yes,Squamous cell carcinoma-vpd,NA,"3n, Triploid (69)",MT,7,61
LC:NCI_H23,Non-Small Cell Lung,NA,M,None,yes,Adenocarcinoma-ud,NA,"2n+, Hyperdiploid (47-57)",MT,-2,33.4
LC:NCI_H322M,Non-Small Cell Lung,52,M,None,yes,Small cell Bronchioalveolar Carcinoma,NA,"2n+/-, Near-diploid 46+/- (35-57)",MT,-10,35.3
LC:NCI_H460,Non-Small Cell Lung,NA,M,NA,yes,Large Cell Carcinoma-ud,Pleural effusion,"2n+/-, Near-diploid 46+/- (35-57)",WT,25,17.8
LC:NCI_H522,Non-Small Cell Lung,NA,M,None,yes,Adenocarcinoma-vpd,NA,"2n+/-, Near-diploid 46+/- (35-57)",MT,16,38.2
OV:IGROV1,Ovarian,47,F,Rad,yes,Cystoadenocarcinoma-pd,NA,"4n+/-, Near-tetraploid 92+/- (81-103)",MT,20,31
OV:OVCAR_3,Ovarian,60,F,CyPh/CsPt/Adr,yes,Adenocarcinoma-md,Ascites,"3n+/-, Near-triploid 69+/- (58-80)",MT,-12,34.7
OV:OVCAR_4,Ovarian,42,F,CyPh/CsPt/Adr,yes,Adenocarcinoma-md,NA,"3n+/-, Near-triploid 69+/- (58-80)",WT,-4,41.4
OV:OVCAR_5,Ovarian,67,F,None,yes,Adenocarcinoma-wd,NA,"2n+, Hyperdiploid (47-57)",MT,13,48.8
OV:OVCAR_8,Ovarian,64,F,Ctx/Adr/CsPt/CyPh,yes,Carcinoma-ud,NA,"2n+, Hyperdiploid (47-57)",MT,7,26.1
OV:SK_OV_3,Ovarian,64,F,Thiotepa,yes,Adenocarcinoma-vpd,Ascites,"4n+/-, Near-tetraploid 92+/- (81-103)",?,15,48.7
OV:NCI_ADR_RES,Ovarian,NA,F,NA,yes,Adenocarinoma,NA,"2n+/-, Near-diploid 46+/- (35-57)",MT,352,34
PR:PC_3,Prostate,62,M,NA,yes,Adenocarcinoma- prostate; metastatic site: bone;,NA,"4n, Tetraploid (92)",MT,11,27.1
PR:DU_145,Prostate,69,M,Androgen independent and unresposive to hormone therapy,yes,prostate; metastatic site: brain; carcinoma (patient with metastatic carcinoma of the prostate and a 3 year history of lymphocytic leukemia.),Metastasis,"3n+/-, Near-triploid 69+/- (58-80)",?,4,32.3
RE:786_0,Renal,58,M,None,yes,Adenocarcinoma,NA,"4n+/-, Near-tetraploid 92+/- (81-103)",MT,-44,22.4
RE:A498,Renal,52,M,NA,yes,Adenocarcinoma,NA,"3n, Triploid (69)",WT,78,66.8
RE:ACHN,Renal,22,M,Rad/VB/CCNU/Mto/Pred,yes,Renal cell carcinoma-p/md,NA,"2n+/-, Near-diploid 46+/- (35-57)",WT,120,27.5
RE:CAKI_1,Renal,49,M,Rad/HU/5FU/Mtx/Ctx,yes,Clear cell carcinoma,Metastasis,"3n, Triploid (69)",WT,171,39
RE:RXF_393,Renal,54,M,None,yes,hypernephroma-pd,NA,"3n+/-, Near-triploid 69+/- (58-80)",MT,42,62.9
RE:SN12C,Renal,43,M,None,yes,Renal cell carcinoma-pd,NA,"3n, Triploid (69)",MT,-86,29.5
RE:TK_10,Renal,43,M,None,yes,Renal Spindle cell carcinoma,NA,"4n, Tetraploid (92)",MT,-4,51.3
RE:UO_31,Renal,NA,F,None,yes,Renal cell carcinoma-vpd,NA,"2n+/-, Near-diploid 46+/- (35-57)",WT,59,41.7
