type,count,newType,generalType
HIGH WIND/HEAVY SNOW,3,NA,
HIGH WAVES,3,NA,
HIGH TEMPERATURE RECORD,3,NA,
Heavy Surf,3,NA,
HEAVY SNOW/BLIZZARD,3,NA,
HEAVY RAINFALL,3,NA,
Heavy rain,3,NA,
HAILSTORM,3,NA,
HAIL/WIND,3,NA,
HAIL 275,3,NA,
GUSTY THUNDERSTORM WIND,3,NA,
GRADIENT WIND,3,NA,
Freezing rain,3,NA,
Freezing Drizzle,3,NA,
FLOODS,3,NA,
FLOOD FLASH,3,NA,
EARLY SNOW,3,NA,
COLD WAVE,3,NA,
BRUSH FIRE,3,NA,
Blowing Snow,3,NA,
Black Ice,3,NA,
BITTER WIND CHILL TEMPERATURES,3,NA,
BEACH EROSION,3,NA,
WINTERY MIX,2,NA,
Whirlwind,2,NA,
WATERSPOUT/ TORNADO,2,NA,
WATERSPOUT-TORNADO,2,NA,
WAKE LOW WIND,2,NA,
VOLCANIC ERUPTION,2,NA,
VERY DRY,2,NA,
URBAN/SMALL STREAM  FLOOD,2,NA,
URBAN/SMALL,2,NA,
URBAN SMALL STREAM FLOOD,2,NA,
URBAN AND SMALL,2,NA,
UNUSUAL/RECORD WARMTH,2,NA,
UNSEASONAL RAIN,2,NA,
UNSEASONAL LOW TEMP,2,NA,
UNSEASONABLY WARM/WET,2,NA,
UNSEASONABLY WARM YEAR,2,NA,
UNSEASONABLY COOL & WET,2,NA,
TSTM WIND 51,2,NA,
Tstm Wind,2,NA,
TROPICAL STORM DEAN,2,NA,
TORNADOES,2,NA,
TORNADO F3,2,NA,
THUNDESTORM WINDS,2,NA,
THUNDERSTROM WINDS,2,NA,
THUNDERSTORM WINDS/ FLOOD,2,NA,
THUNDERSTORM WINDS G,2,NA,
THUNDERSTORM WINDS FUNNEL CLOU,2,NA,
THUNDERSTORM WINDS AND,2,NA,
THUNDERSTORM WIND G60,2,NA,
THUNDERSTORM WIND G52,2,NA,
THUNDERSTORM WIND 50,2,NA,
THUNDERSTORM DAMAGE,2,NA,
THUNDEERSTORM WINDS,2,NA,
THUDERSTORM WINDS,2,NA,
Summary: Nov. 16,2,NA,
Summary September 23,2,NA,
Summary of March 23,2,NA,
Summary of June 3,2,NA,
Summary of June 13,2,NA,
Summary of April 21,2,NA,
Summary of April 12,2,NA,
Summary August 11,2,NA,
Summary August 10,2,NA,
STRONG WIND GUST,2,NA,
SNOW/HIGH WINDS,2,NA,
SNOW/COLD,2,NA,
SNOW AND HEAVY SNOW,2,NA,
SNOW AND COLD,2,NA,
Sml Stream Fld,2,NA,
SMALL STREAM AND URBAN FLOOD,2,NA,
SLEET/SNOW,2,NA,
SLEET/FREEZING RAIN,2,NA,
SAHARAN DUST,2,NA,
Saharan Dust,2,NA,
RURAL FLOOD,2,NA,
ROCK SLIDE,2,NA,
RIVER AND STREAM FLOOD,2,NA,
RIP CURRENTS/HEAVY SURF,2,NA,
REMNANTS OF FLOYD,2,NA,
RED FLAG FIRE WX,2,NA,
RED FLAG CRITERIA,2,NA,
Record Temperatures,2,NA,
RECORD LOW RAINFALL,2,NA,
Record High,2,NA,
RECORD DRYNESS,2,NA,
RECORD COLD/FROST,2,NA,
NONE,2,NA,
NON TSTM WIND,2,NA,
Monthly Rainfall,2,NA,
MARINE MISHAP,2,NA,
LIGHT SNOW AND SLEET,2,NA,
LATE SNOW,2,NA,
Late Season Snowfall,2,NA,
LANDSPOUT,2,NA,
Lake Effect Snow,2,NA,
Ice/Snow,2,NA,
Ice Fog,2,NA,
ICE FLOES,2,NA,
HVY RAIN,2,NA,
HURRICANE FELIX,2,NA,
Hurricane Edouard,2,NA,
HOT SPELL,2,NA,
Hot and Dry,2,NA,
HIGH WINDS 80,2,NA,
HIGH WINDS 66,2,NA,
HIGH WINDS 63,2,NA,
HIGH WIND DAMAGE,2,NA,
HIGH WIND AND HIGH TIDES,2,NA,
HIGH WIND (G40),2,NA,
High Wind,2,NA,
HIGH TIDES,2,NA,
HEAVY SNOW/SQUALLS,2,NA,
HEAVY SNOW/ICE STORM,2,NA,
HEAVY SNOW/FREEZING RAIN,2,NA,
HEAVY SNOW AND ICE STORM,2,NA,
HEAVY SNOW AND ICE,2,NA,
HEAVY SNOW AND HIGH WINDS,2,NA,
HEAVY SHOWER,2,NA,
HEAVY SEAS,2,NA,
HEAVY RAIN/SEVERE WEATHER,2,NA,
HEAVY RAIN/FLOODING,2,NA,
Heavy Precipitation,2,NA,
HEAT WAVES,2,NA,
HAIL/WINDS,2,NA,
HAIL DAMAGE,2,NA,
HAIL 80,2,NA,
HAIL 150,2,NA,
Gusty winds,2,NA,
GROUND BLIZZARD,2,NA,
gradient wind,2,NA,
GLAZE ICE,2,NA,
Freeze,2,NA,
FLOOD/FLASH FLOODING,2,NA,
FLOOD/FLASH,2,NA,
FLOOD & HEAVY RAIN,2,NA,
FLASH FLOOD/ FLOOD,2,NA,
FLASH FLOOD - HEAVY RAIN,2,NA,
FALLING SNOW/ICE,2,NA,
Extreme Cold,2,NA,
Excessive Cold,2,NA,
Erosion/Cstl Flood,2,NA,
Early snowfall,2,NA,
DRY MICROBURST 58,2,NA,
DOWNBURST WINDS,2,NA,
DOWNBURST,2,NA,
Damaging Freeze,2,NA,
CSTL FLOODING/EROSION,2,NA,
Cold Temperature,2,NA,
COLD AIR FUNNELS,2,NA,
COASTAL/TIDAL FLOOD,2,NA,
COASTAL SURGE,2,NA,
Coastal Storm,2,NA,
coastal flooding,2,NA,
BLOWING SNOW & EXTREME WIND CH,2,NA,
blowing snow,2,NA,
BLIZZARD/HEAVY SNOW,2,NA,
BLIZZARD AND EXTREME WIND CHIL,2,NA,
BELOW NORMAL PRECIPITATION,2,NA,
BEACH FLOOD,2,NA,
ABNORMALLY DRY,2,NA,
WND,1,NA,
Wintry Mix,1,NA,
WINTER STORM/HIGH WINDS,1,NA,
WINTER STORM/HIGH WIND,1,NA,
WINTER STORM HIGH WINDS,1,NA,
WIND/HAIL,1,NA,
WIND STORM,1,NA,
WIND CHILL/HIGH WIND,1,NA,
WIND AND WAVE,1,NA,
WILD/FOREST FIRES,1,NA,
WHIRLWIND,1,NA,
WET WEATHER,1,NA,
WET SNOW,1,NA,
wet micoburst,1,NA,
WAYTERSPOUT,1,NA,
WATERSPOUT/,1,NA,
WATERSPOUT TORNADO,1,NA,
WATERSPOUT FUNNEL CLOUD,1,NA,
WATER SPOUT,1,NA,
WARM WEATHER,1,NA,
WARM DRY CONDITIONS,1,NA,
WALL CLOUD/FUNNEL CLOUD,1,NA,
Volcanic Ash Plume,1,NA,
Volcanic Ash,1,NA,
VOG,1,NA,
VERY WARM,1,NA,
URBAN/SML STREAM FLDG,1,NA,
URBAN/SMALL STRM FLDG,1,NA,
URBAN/SMALL FLOODING,1,NA,
URBAN SMALL,1,NA,
Urban Flooding,1,NA,
URBAN FLOOD LANDSLIDE,1,NA,
Urban Flood,1,NA,
Urban flood,1,NA,
UNUSUALLY LATE SNOW,1,NA,
UNSEASONABLY WARM & WET,1,NA,
Unseasonable Cold,1,NA,
TUNDERSTORM WIND,1,NA,
TSTMW,1,NA,
TSTM WND,1,NA,
TSTM WIND G58,1,NA,
TSTM WIND G45,1,NA,
TSTM WIND DAMAGE,1,NA,
TSTM WIND AND LIGHTNING,1,NA,
TSTM WIND 65),1,NA,
TSTM WIND 50,1,NA,
TSTM WIND 45,1,NA,
TSTM WIND 40,1,NA,
TSTM WIND (G35),1,NA,
TSTM WIND (41),1,NA,
TSTM WIND  (G45),1,NA,
TSTM,1,NA,
TROPICAL STORM GORDON,1,NA,
TROPICAL STORM ALBERTO,1,NA,
Torrential Rainfall,1,NA,
TORRENTIAL RAIN,1,NA,
TORNDAO,1,NA,
TORNADOS,1,NA,
"TORNADOES, TSTM WIND, HAIL",1,NA,
TORNADO/WATERSPOUT,1,NA,
TORNADO DEBRIS,1,NA,
TIDAL FLOOD,1,NA,
THUNERSTORM WINDS,1,NA,
THUNDERTSORM WIND,1,NA,
THUNDERSTROM WIND,1,NA,
THUNDERSTORMWINDS,1,NA,
THUNDERSTORMW 50,1,NA,
THUNDERSTORMW,1,NA,
THUNDERSTORM WINS,1,NA,
THUNDERSTORM WINDSHAIL,1,NA,
THUNDERSTORM WINDS53,1,NA,
THUNDERSTORM WINDS/HEAVY RAIN,1,NA,
THUNDERSTORM WINDS/FUNNEL CLOU,1,NA,
THUNDERSTORM WINDS/FLOODING,1,NA,
THUNDERSTORM WINDS/FLASH FLOOD,1,NA,
THUNDERSTORM WINDS/ HAIL,1,NA,
THUNDERSTORM WINDS URBAN FLOOD,1,NA,
THUNDERSTORM WINDS SMALL STREA,1,NA,
THUNDERSTORM WINDS HEAVY RAIN,1,NA,
THUNDERSTORM WINDS G60,1,NA,
THUNDERSTORM WINDS 63 MPH,1,NA,
THUNDERSTORM WINDS 62,1,NA,
THUNDERSTORM WINDS 61,1,NA,
THUNDERSTORM WINDS 60,1,NA,
THUNDERSTORM WINDS 53,1,NA,
THUNDERSTORM WINDS 52,1,NA,
THUNDERSTORM WINDS 50,1,NA,
THUNDERSTORM WINDS 2,1,NA,
THUNDERSTORM WINDS 13,1,NA,
THUNDERSTORM WINDS      LE CEN,1,NA,
THUNDERSTORM WIND/LIGHTNING,1,NA,
THUNDERSTORM WIND/HAIL,1,NA,
THUNDERSTORM WIND/AWNING,1,NA,
THUNDERSTORM WIND/ TREE,1,NA,
THUNDERSTORM WIND.,1,NA,
THUNDERSTORM WIND TREES,1,NA,
THUNDERSTORM WIND G61,1,NA,
THUNDERSTORM WIND G55,1,NA,
THUNDERSTORM WIND G51,1,NA,
THUNDERSTORM WIND 98 MPH,1,NA,
THUNDERSTORM WIND 69,1,NA,
THUNDERSTORM WIND 65MPH,1,NA,
THUNDERSTORM WIND 65 MPH,1,NA,
THUNDERSTORM WIND 59 MPH.,1,NA,
THUNDERSTORM WIND 59 MPH,1,NA,
THUNDERSTORM WIND 59,1,NA,
THUNDERSTORM WIND 56,1,NA,
THUNDERSTORM WIND 52,1,NA,
THUNDERSTORM WIND (G40),1,NA,
Thunderstorm Wind,1,NA,
THUNDERSTORM W INDS,1,NA,
THUNDERSTORM HAIL,1,NA,
THUNDERSTORM DAMAGE TO,1,NA,
Thundersnow shower,1,NA,
THUNDERSNOW,1,NA,
THUNDERESTORM WINDS,1,NA,
Summary: Sept. 18,1,NA,
Summary: October 31,1,NA,
Summary: Oct. 20-21,1,NA,
Summary: Nov. 6-7,1,NA,
Summary September 4,1,NA,
Summary September 3,1,NA,
Summary September 20,1,NA,
Summary Sept. 25-26,1,NA,
Summary of May 9-10,1,NA,
Summary of May 31 pm,1,NA,
Summary of May 31 am,1,NA,
Summary of May 26 pm,1,NA,
Summary of May 26 am,1,NA,
Summary of May 22 pm,1,NA,
Summary of May 22 am,1,NA,
Summary of May 22,1,NA,
Summary of May 14,1,NA,
Summary of May 13,1,NA,
Summary of May 10,1,NA,
SUMMARY OF MARCH 29,1,NA,
SUMMARY OF MARCH 27,1,NA,
SUMMARY OF MARCH 24-25,1,NA,
Summary of March 24,1,NA,
Summary of March 14,1,NA,
Summary of June 6,1,NA,
Summary of June 4,1,NA,
Summary of June 30,1,NA,
Summary of June 24,1,NA,
Summary of June 23,1,NA,
Summary of June 18,1,NA,
Summary of June 16,1,NA,
Summary of June 15,1,NA,
Summary of June 12,1,NA,
Summary of June 11,1,NA,
Summary of June 10,1,NA,
Summary of July 3,1,NA,
Summary of July 29,1,NA,
Summary of July 26,1,NA,
Summary of July 22,1,NA,
Summary of July 2,1,NA,
Summary of July 11,1,NA,
Summary of August 1,1,NA,
Summary of April 3rd,1,NA,
Summary of April 27,1,NA,
Summary of April 13,1,NA,
Summary June 6,1,NA,
Summary June 5-6,1,NA,
Summary June 18-19,1,NA,
Summary July 23-24,1,NA,
Summary Jan 17,1,NA,
Summary August 9,1,NA,
Summary August 7,1,NA,
Summary August 4,1,NA,
Summary August 28,1,NA,
Summary August 21,1,NA,
Summary August 2-3,1,NA,
Summary August 17,1,NA,
Strong winds,1,NA,
STREAM FLOODING,1,NA,
STORM FORCE WINDS,1,NA,
SOUTHEAST,1,NA,
SNOWSTORM,1,NA,
SNOWFALL RECORD,1,NA,
SNOW\COLD,1,NA,
SNOW/SLEET/RAIN,1,NA,
SNOW/RAIN/SLEET,1,NA,
SNOW/RAIN,1,NA,
SNOW/HEAVY SNOW,1,NA,
SNOW/ ICE,1,NA,
SNOW/ BITTER COLD,1,NA,
SNOW- HIGH WIND- WIND CHILL,1,NA,
Snow squalls,1,NA,
SNOW SLEET,1,NA,
SNOW AND WIND,1,NA,
Snow and sleet,1,NA,
SNOW AND ICE STORM,1,NA,
Snow and Ice,1,NA,
SNOW ADVISORY,1,NA,
SNOW ACCUMULATION,1,NA,
Snow Accumulation,1,NA,
SMALL STREAM URBAN FLOOD,1,NA,
SMALL STREAM AND URBAN FLOODIN,1,NA,
SMALL STREAM AND,1,NA,
SMALL STREAM,1,NA,
Small Hail,1,NA,
SLEET/RAIN/SNOW,1,NA,
SLEET/ICE STORM,1,NA,
SLEET & FREEZING RAIN,1,NA,
SEVERE TURBULENCE,1,NA,
SEVERE COLD,1,NA,
Seasonal Snowfall,1,NA,
ROGUE WAVE,1,NA,
RIP CURRENTS HEAVY SURF,1,NA,
RECORD/EXCESSIVE RAINFALL,1,NA,
RECORD WARM TEMPS.,1,NA,
RECORD WARM,1,NA,
RECORD SNOW/COLD,1,NA,
RECORD PRECIPITATION,1,NA,
Record May Snow,1,NA,
RECORD HIGH TEMPERATURES,1,NA,
RECORD HEAT WAVE,1,NA,
Record Heat,1,NA,
Record dry month,1,NA,
RECORD COLD AND HIGH WIND,1,NA,
RECORD  COLD,1,NA,
RAPIDLY RISING WATER,1,NA,
RAINSTORM,1,NA,
RAIN/WIND,1,NA,
Rain Damage,1,NA,
RAIN AND WIND,1,NA,
RAIN (HEAVY),1,NA,
PROLONG COLD/SNOW,1,NA,
PATCHY ICE,1,NA,
NORTHERN LIGHTS,1,NA,
NON-TSTM WIND,1,NA,
NON-SEVERE WIND DAMAGE,1,NA,
No Severe Weather,1,NA,
NEAR RECORD SNOW,1,NA,
MUDSLIDE/LANDSLIDE,1,NA,
MUD/ROCK SLIDE,1,NA,
MUD SLIDES URBAN FLOODING,1,NA,
MUD SLIDES,1,NA,
Mountain Snows,1,NA,
MONTHLY SNOWFALL,1,NA,
Monthly Snowfall,1,NA,
MODERATE SNOW,1,NA,
Minor Flooding,1,NA,
MINOR FLOOD,1,NA,
MILD/DRY PATTERN,1,NA,
MILD PATTERN,1,NA,
Mild and Dry Pattern,1,NA,
"Metro Storm, May 26",1,NA,
Marine Accident,1,NA,
LOW WIND CHILL,1,NA,
LOW TEMPERATURE RECORD,1,NA,
LOCALLY HEAVY RAIN,1,NA,
LOCAL FLOOD,1,NA,
LOCAL FLASH FLOOD,1,NA,
LIGNTNING,1,NA,
LIGHTNING/HEAVY RAIN,1,NA,
LIGHTNING.,1,NA,
LIGHTNING THUNDERSTORM WINDSS,1,NA,
LIGHTNING THUNDERSTORM WINDS,1,NA,
LIGHTNING INJURY,1,NA,
LIGHTNING FIRE,1,NA,
LIGHTNING DAMAGE,1,NA,
LIGHTNING AND WINDS,1,NA,
LIGHTNING AND THUNDERSTORM WIN,1,NA,
LIGHTNING AND HEAVY RAIN,1,NA,
LIGHTNING  WAUSEON,1,NA,
Light Snowfall,1,NA,
LIGHT SNOW/FREEZING PRECIP,1,NA,
Light snow,1,NA,
Late-season Snowfall,1,NA,
LATE SEASON SNOW,1,NA,
LATE SEASON HAIL,1,NA,
LATE FREEZE,1,NA,
LARGE WALL CLOUD,1,NA,
LANDSLUMP,1,NA,
Landslump,1,NA,
LANDSLIDE/URBAN FLOOD,1,NA,
LAKE FLOOD,1,NA,
LACK OF SNOW,1,NA,
Icestorm/Blizzard,1,NA,
ICE/STRONG WINDS,1,NA,
ICE STORM/FLASH FLOOD,1,NA,
ICE STORM AND SNOW,1,NA,
ICE ROADS,1,NA,
ICE PELLETS,1,NA,
ICE ON ROAD,1,NA,
Ice jam flood (minor,1,NA,
ICE AND SNOW,1,NA,
HYPOTHERMIA,1,NA,
HYPERTHERMIA/EXPOSURE,1,NA,
HURRICANE OPAL/HIGH WINDS,1,NA,
HURRICANE GORDON,1,NA,
HURRICANE EMILY,1,NA,
HOT/DRY PATTERN,1,NA,
HOT WEATHER,1,NA,
HOT PATTERN,1,NA,
HIGHWAY FLOODING,1,NA,
HIGH WINDS/HEAVY RAIN,1,NA,
HIGH WINDS/FLOODING,1,NA,
HIGH WINDS/COASTAL FLOOD,1,NA,
HIGH WINDS/,1,NA,
